,id,profile_image_url,url,public_metrics,username,protected,name,description,pinned_tweet_id,location,verified,entities
36,1421470970431250433,https://pbs.twimg.com/profile_images/1441700568725012487/ia61Nw-w_normal.jpg,,"{'followers_count': 14, 'following_count': 55, 'tweet_count': 1335, 'listed_count': 0}",_barba10,False,ﾊﾞﾙﾊﾞ🔰,ﾌﾟﾛｸﾞﾗﾏ,,home,False,
37,994252887604609026,https://pbs.twimg.com/profile_images/1312700781976408069/43drZNdi_normal.jpg,,"{'followers_count': 147, 'following_count': 369, 'tweet_count': 30985, 'listed_count': 1}",MB80101459,False,MB,"的場梨沙黛冬優子天王寺璃奈
一日一回ダイワスカーレット(ウマ娘)さんに勝てない",,,False,
38,2653750155,https://pbs.twimg.com/profile_images/874898483479797761/e71nil_q_normal.jpg,,"{'followers_count': 15, 'following_count': 257, 'tweet_count': 260, 'listed_count': 0}",sjpdlf,False,Sarah Paget de la Fosse,,1481758054727172097,"Eastbourne, England",False,
39,256563875,https://pbs.twimg.com/profile_images/443988842211590144/aI-PKes0_normal.jpeg,,"{'followers_count': 23, 'following_count': 218, 'tweet_count': 4285, 'listed_count': 0}",meranattou,False,YY💉💉💉,そして目覚めると、わたしはこの肌寒い丘にいた,,,False,
40,29060901,https://pbs.twimg.com/profile_images/1168983544095551488/0-8FPkLg_normal.jpg,https://t.co/DJOUTkXeq9,"{'followers_count': 204, 'following_count': 443, 'tweet_count': 44355, 'listed_count': 10}",hawkeye2_,False,Adele Jayde,A chronically ill traveller of the world. 🏳️‍🌈✈️🎭💜 she/her,756275649334026240,The wonderful land of Oz.,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/DJOUTkXeq9', 'expanded_url': 'https://www.instagram.com/hawkeye2_/', 'display_url': 'instagram.com/hawkeye2_/'}]}}"
41,82800477,https://pbs.twimg.com/profile_images/589718385841213440/EVCwQrf__normal.jpg,,"{'followers_count': 263, 'following_count': 23, 'tweet_count': 6401, 'listed_count': 20}",rickyrgandhi,False,Ricky Gandhi,Chemical Engineer & management graduate; Venture Capitalist and an optimist by heart; Tea & Travel addict; Always curious; Do what I love,,"Ahmedabad, India",False,
42,111300251,https://pbs.twimg.com/profile_images/378800000686460837/8ad63747a68b672691893b125cd5b374_normal.jpeg,http://t.co/qvcYgc0bfS,"{'followers_count': 148, 'following_count': 196, 'tweet_count': 9238, 'listed_count': 6}",umeyamas,False,梅山新平,信州大学農学部森林科学科卒で、2010年8月に千葉県松戸市で独立開業した公認会計士・税理士です。,,千葉県松戸市,False,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/qvcYgc0bfS', 'expanded_url': 'http://umeyamas.com/', 'display_url': 'umeyamas.com'}]}}"
43,1195185552204554240,https://pbs.twimg.com/profile_images/1500090837338030083/-VlWHgxP_normal.jpg,,"{'followers_count': 81, 'following_count': 65, 'tweet_count': 5610, 'listed_count': 2}",skysilk3,False,時矢,"sky楽しい。TRPG楽しい。成人済
。
自分用メモ:通過シナリオ
https://t.co/I9J7WRvFiI",1516044673324052483,,False,"{'description': {'urls': [{'start': 34, 'end': 57, 'url': 'https://t.co/I9J7WRvFiI', 'expanded_url': 'https://twpf.jp/skysilk3', 'display_url': 'twpf.jp/skysilk3'}]}}"
44,1237659343014604800,https://pbs.twimg.com/profile_images/1361175577990848514/z-W7jjiK_normal.jpg,,"{'followers_count': 4, 'following_count': 288, 'tweet_count': 84, 'listed_count': 0}",BasilBrush2020,False,Basil Brush 2020,,,,False,
45,386330004,https://pbs.twimg.com/profile_images/1495293782916743171/heEo2yN5_normal.jpg,https://t.co/3h4Daw0uIy,"{'followers_count': 2164, 'following_count': 624, 'tweet_count': 400003, 'listed_count': 38}",Michellelanious,False,🏴Mi$¢ha $elamat🏴 #REVOLUSIS,"#RolePlayer #N00bAuthor of upcoming book Assault on Anger #Lesbian #Transwoman  #LGBTExtremist #IlmuSeks. 💞 cuddles, kisses, food, anime, & being naked.",1273170298326614017,Right behind you :),False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/3h4Daw0uIy', 'expanded_url': 'http://curiouscat.me/Mischalanious', 'display_url': 'curiouscat.me/Mischalanious'}]}, 'description': {'hashtags': [{'start': 0, 'end': 11, 'tag': 'RolePlayer'}, {'start': 12, 'end': 23, 'tag': 'N00bAuthor'}, {'start': 58, 'end': 66, 'tag': 'Lesbian'}, {'start': 67, 'end': 78, 'tag': 'Transwoman'}, {'start': 80, 'end': 94, 'tag': 'LGBTExtremist'}, {'start': 95, 'end': 104, 'tag': 'IlmuSeks'}]}}"
46,748958208610361344,https://pbs.twimg.com/profile_images/1393439173235802116/Cs30Arx9_normal.png,https://t.co/UJr67oH5KJ,"{'followers_count': 781, 'following_count': 444, 'tweet_count': 86762, 'listed_count': 7}",2000straveler,False,🎀消氣凱蒂🎀,20↑｜台灣獨立建國｜頭貼阿蛙 @I663080001｜最近騎腳踏車通勤兼差當律師與偵探 @cs_1882,1495411421877731333,石之海動畫化ㄌ,False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/UJr67oH5KJ', 'expanded_url': 'https://odaibako.net/u/ablue003', 'display_url': 'odaibako.net/u/ablue003'}]}, 'description': {'mentions': [{'start': 16, 'end': 27, 'username': 'I663080001'}, {'start': 45, 'end': 53, 'username': 'cs_1882'}]}}"
47,41721104,https://pbs.twimg.com/profile_images/1519533267535421440/Af-4qCsq_normal.jpg,https://t.co/Yl5arYBkCY,"{'followers_count': 503, 'following_count': 503, 'tweet_count': 89932, 'listed_count': 32}",PaulCabins,False,Pablo Cabañas,Hago cómics y otros dibujos 🇲🇽,1242881411310391300,"Valladolid, Yucatán, México",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/Yl5arYBkCY', 'expanded_url': 'http://www.lahorananis.blogspot.com', 'display_url': 'lahorananis.blogspot.com'}]}}"
48,244628945,https://pbs.twimg.com/profile_images/1427444937805635585/vgNqf19e_normal.jpg,https://t.co/7cTqGPDVVL,"{'followers_count': 992, 'following_count': 853, 'tweet_count': 7305, 'listed_count': 5}",RamiElghandour,False,Rami Elghandour,"No one of consequence. You keep using that word, I do not think it means what you think it means #genderequality #blm ceo @arcellx @wharton @rutgersu",1236839285476610049,"California, USA",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/7cTqGPDVVL', 'expanded_url': 'https://www.ramielghandour.com', 'display_url': 'ramielghandour.com'}]}, 'description': {'hashtags': [{'start': 97, 'end': 112, 'tag': 'genderequality'}, {'start': 113, 'end': 117, 'tag': 'blm'}], 'mentions': [{'start': 122, 'end': 130, 'username': 'arcellx'}, {'start': 131, 'end': 139, 'username': 'wharton'}, {'start': 140, 'end': 149, 'username': 'rutgersu'}]}}"
49,1446745555103739906,https://pbs.twimg.com/profile_images/1446748606359224322/I9TsG-yR_normal.jpg,,"{'followers_count': 3, 'following_count': 3, 'tweet_count': 101, 'listed_count': 0}",poka0991,False,포카,,,,False,
50,972893233,https://pbs.twimg.com/profile_images/1501595631848079361/CEvk3oM__normal.jpg,,"{'followers_count': 78, 'following_count': 131, 'tweet_count': 405, 'listed_count': 1}",Smitherans,False,Karla,🌻,,"Anaheim, CA",False,
51,14924428,https://pbs.twimg.com/profile_images/624243981610819584/rD9cTPal_normal.jpg,,"{'followers_count': 180, 'following_count': 327, 'tweet_count': 63663, 'listed_count': 10}",justwalk,False,justwalk 🐱🐙,'You know what I just heard? Blah blah spiritual mumbo jumbo blah blah something about space.',505371720472330240,,False,
52,1467525177223553025,https://pbs.twimg.com/profile_images/1521823854947336194/L9pJjAjX_normal.jpg,https://t.co/uW1wfWYUNj,"{'followers_count': 1128, 'following_count': 904, 'tweet_count': 2179, 'listed_count': 13}",luhvdiary,False,Jess .ᐟ,#LetTheEarthBreathe #LeniKiko2022,1478056401586962438,"✹ carrd for infos  
✹ she/her 18 ph
✹ books archive study           
✹ 14/30 reads ",False,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/uW1wfWYUNj', 'expanded_url': 'http://love-filez.carrd.co', 'display_url': 'love-filez.carrd.co'}]}, 'description': {'hashtags': [{'start': 0, 'end': 19, 'tag': 'LetTheEarthBreathe'}, {'start': 20, 'end': 33, 'tag': 'LeniKiko2022'}]}}"
